paramID,flag,steps
1,periodic-1T,47376
2,periodic-1T,17808
3,periodic-1T,10752
4,periodic-1T,10416
5,periodic-1T,10416
6,periodic-1T,20832
7,periodic-1T,78960
8,periodic-1T,10416
9,periodic-1T,10752
10,periodic-1T,10752
11,periodic-1T,10080
12,periodic-1T,10416
13,periodic-1T,10416
14,periodic-1T,10080
15,periodic-1T,14784
16,periodic-1T,10080
17,periodic-1T,37632
18,periodic-1T,24528
19,periodic-1T,10416
20,periodic-1T,10416
21,periodic-1T,10080
22,periodic-1T,11424
23,periodic-1T,47376
24,periodic-1T,10416
25,periodic-1T,20496
26,periodic-1T,121632
27,periodic-1T,120288
28,periodic-1T,10416
29,periodic-1T,30576
30,periodic-1T,118944
31,periodic-1T,10416
32,periodic-1T,27216
33,periodic-1T,10080
34,periodic-1T,84336
35,periodic-1T,10416
36,periodic-1T,71904
37,periodic-1T,13776
38,periodic-1T,10080
39,periodic-1T,11424
40,periodic-1T,18480
41,periodic-1T,10752
42,periodic-1T,10416
43,periodic-1T,17472
44,periodic-1T,21168
45,periodic-1T,77616
46,periodic-1T,10416
47,periodic-1T,10416
48,periodic-1T,85680
49,periodic-1T,17136
50,periodic-1T,13776
51,periodic-1T,10416
52,periodic-1T,10752
53,periodic-1T,12432
54,periodic-1T,10080
55,periodic-1T,10416
56,periodic-1T,10416
57,periodic-1T,14784
58,periodic-1T,14112
59,periodic-1T,10080
60,periodic-1T,10080
61,periodic-1T,59472
62,periodic-1T,17136
63,periodic-1T,57456
64,periodic-1T,18480
65,periodic-1T,17136
66,periodic-1T,49056
67,periodic-1T,10416
68,periodic-1T,10080
69,periodic-1T,10416
70,periodic-1T,20496
71,periodic-1T,67536
72,periodic-1T,11088
73,periodic-1T,20832
74,periodic-1T,10416
75,periodic-1T,38976
76,periodic-1T,10752
77,periodic-1T,30576
78,periodic-1T,44016
79,periodic-1T,10416
80,periodic-1T,10416
81,periodic-1T,10416
82,periodic-1T,10080
83,periodic-1T,28560
84,periodic-1T,10416
85,periodic-1T,10416
86,periodic-1T,164976
87,periodic-1T,11760
88,periodic-1T,10416
89,periodic-1T,10416
90,periodic-1T,174384
91,periodic-1T,24192
92,periodic-1T,10416
93,periodic-1T,10416
94,periodic-1T,10416
95,periodic-1T,65856
96,periodic-1T,38304
97,periodic-1T,10080
98,periodic-1T,34608
99,periodic-1T,70896
100,periodic-1T,13776
101,periodic-1T,10752
102,periodic-1T,10416
103,periodic-1T,27552
104,periodic-1T,10416
105,periodic-1T,17808
106,periodic-1T,108192
107,periodic-1T,10080
108,periodic-1T,194544
