paramID,beta0,sigma0,kappa,delta,omega,gamma,rho,nPulse,theta,Nall,tc,tau,A
1,1.4429e-03,2.1396e-01,2.0819e+00,2.0455e-02,2.2334e-04,9.5359e-05,1.22673,74,0.89005,1,"357.1|567|308.1|83.1|655.1|665.4|644.7|612.7|281.7|525.3|275.2|430.6|66.84|30.82|430.5|668.6|458.8|156.3|295.2|62.78|683.5|232.7|680.5|490.1|75.25|683.3|690.1|709.5|667.1|300.6|692.4|215.2|394.6|698.8|242.7|393.5|205.7|654.3|505.4|493.1|429.8|651.5|647.8|95.08|522.2|520.4|274.1|393.5|27.82|617.7|459.7|211.9|206.2|392.7|253.8|680.5|519.6|411.9|49.47|241|217.8|165.5|710.5|404.5|437.7|4.293|424.5|359.8|699.1|384.9|353.3|390.5|436.6|610.7","0.5781|1.868|0.4283|9.573|8.735|2.146|2.603|2.717|1.408|1.329|1.457|1.32|11.11|3.773|0.8441|1.531|0.2504|10.88|4.318|0.2431|7.855|0.249|0.4618|11.72|0.3734|0.4258|2.914|6.32|0.8328|0.9954|0.3246|0.2406|0.3727|0.225|0.6297|0.4492|2.646|1.702|4.34|2.537|0.3689|0.1859|3.003|0.6735|0.1766|3.873|3.334|8.062|0.2053|1.454|7.015|3.423|0.9635|1.567|0.2582|7.201|5.99|5.967|8.764|4.201|11.85|0.5237|1.06|1.43|0.2369|10.46|1.902|0.9221|1.281|4.439|1.064|0.8271|0.1956|0.4325","3.911|0.2319|0.06565|0.005199|0.04587|0.5297|0.03372|0.7333|5.04|56.14|4.783|3.146|0.0182|4.333|19.73|4.486|10.42|0.005653|0.0001788|0.001153|0.0057|0.00479|4.437|87.55|0.02067|1.284|0.5285|0.004648|0.4501|0.008299|30.9|17.53|7.059|0.887|0.0001179|0.01039|0.1395|1.372|7.178|1.611|0.001192|13.79|0.000489|0.0001437|0.04115|0.001331|0.007956|11.79|3.879|0.405|10.92|80.12|55.89|0.001598|0.447|0.002235|0.000392|0.09987|40.77|0.07226|0.001015|13.92|0.04935|15.4|0.1371|1.376|0.0001251|7.316|30.77|0.2049|0.001469|0.0003498|2.722|0.05416"
2,2.1644e-02,1.6899e-03,4.5957e+00,6.0347e-04,5.2069e-02,1.2454e-02,1.09786,9,0.11065,1,"501.3|556.4|717.6|581.2|678.9|66.31|258.8|582.4|168.9","1.902|1.96|0.2905|8.386|0.552|0.698|0.6979|1.185|4.169","0.1829|0.3408|0.271|0.002703|0.05034|46.66|0.006542|0.006557|0.0007137"
3,1.4036e-02,4.3587e-03,3.1103e+00,2.8322e-04,1.5106e-04,2.0864e-05,2.66053,5,0.01169,1,"256.8|57.1|248|157.1|512.3","0.2192|0.9003|0.307|0.5799|0.6257","0.0002935|0.4209|0.1787|0.09768|1.027"
4,5.1955e-03,5.6639e-02,2.6520e-01,1.2453e-02,1.2640e-04,1.0017e-05,1.96316,3,0.98386,1,"73.22|518.3|263","0.3663|4.89|1.104","0.006668|0.05117|0.001845"
5,8.6499e-02,4.2766e-02,3.7687e+00,1.3569e-01,1.3988e-02,7.5826e-03,10.27360,4,0.95493,1,"358.4|409.2|616.1|384.1","10.41|0.4112|0.9977|0.2436","0.1222|0.002615|0.1688|0.1097"
6,5.8764e-02,1.1386e-01,8.1323e-01,4.3830e-03,9.2791e-02,7.8774e-05,1110.77772,72,0.06559,1,"530.1|527.4|653.5|477.1|310.4|290.9|503.6|91.16|310.5|584.7|687.8|282.2|638.7|504.7|377|658.8|283|603.2|465.9|219.1|439.5|434.6|366.3|549|33.3|344.9|572.5|102.7|299.4|133.3|405.4|708|175|593.3|534.8|266.4|526.7|283.7|110.8|654.9|348.9|434.9|327.9|335.4|390.5|566.6|177|185.2|560.2|310.6|175.3|229.2|499.6|389.3|448.6|592.9|709.3|518.9|304.2|375.6|131.4|403.7|550|365.5|41.62|394.1|438|574.6|91.27|170.8|36.55|675.4","0.2586|0.197|1.237|3.488|0.4944|1.554|0.2908|2.124|0.8726|1.169|0.9278|0.3238|0.2036|11.88|1.009|5.022|0.4483|0.3496|3.167|0.3374|0.5304|6.417|5.56|0.8917|5.926|3.608|3.394|7.595|3.805|2.156|1.294|1.345|0.8066|0.2606|8.708|0.767|2.188|1.428|7.021|1.194|0.5208|0.2801|0.5567|0.9386|1.157|8.166|2.894|0.4627|0.7374|1.452|0.973|4.592|0.2114|2.191|8.231|3.754|0.4481|0.2424|2.275|0.2352|0.6246|1.542|2.573|0.737|0.4109|5.392|0.3464|2.689|7.074|5.588|1.241|1.694","6.802|0.006877|5.753|0.02268|1.757|0.1643|0.5376|0.353|0.0001112|0.5472|0.004307|0.005113|0.2287|0.002691|0.0002193|0.001424|33.32|0.401|0.0003006|0.0002943|0.001164|0.001901|0.0002068|0.0003353|8.364|0.02082|1.266|0.002171|0.01183|0.09967|0.08612|0.01119|0.00995|42.22|0.0002798|0.08005|0.4092|0.06308|42.7|5.032|0.008856|0.08485|0.6919|3.803|1.86|66.34|0.0002564|78.98|0.09909|0.0001663|0.1207|6.182|0.7984|0.00343|0.4257|3.283|31.48|0.003443|2.105|0.0166|0.0002555|0.307|1.525|0.007197|0.0002399|9.856|0.0002101|18.44|0.0001082|0.01265|0.3873|0.01726"
7,9.4540e-01,4.3695e-03,5.4011e+00,3.2739e-03,1.2129e-02,2.9126e-03,20299.32046,12,0.01835,1,"578|498|404|192.4|109.5|201.7|394.6|341.8|682.1|281.3|646|545.3","0.445|1.255|0.1747|0.3452|0.2166|11|1.652|0.3833|7.061|5.122|0.1874|9.74","1.768|0.0001627|61.84|0.08483|0.0001025|1.577|0.08399|0.02462|16.48|0.001054|1.563|0.0002187"
8,3.5281e-02,6.4399e-02,8.0983e+00,5.1692e-01,8.7536e-01,2.2683e-03,2.66940,3,0.94828,1,"645|562.8|592.1","0.3714|0.3419|0.7122","20.43|96.48|12.64"
9,1.6924e+00,3.6293e-04,1.2273e+00,1.5805e-03,3.8225e-04,7.4674e-04,51.35814,10,0.02364,1,"465|319.2|24.92|179.8|303.4|669.9|531.2|141.8|10.25|144.6","0.7109|0.7363|0.212|2.417|0.7578|0.1997|0.5004|0.7596|0.9579|0.221","0.03097|1.253|0.002993|0.5116|0.02187|0.01689|2.164|2.986|0.05191|0.004304"
10,3.2067e-01,2.1002e-04,7.7583e+00,1.7316e-04,4.9860e-03,3.0907e-04,3.74557,9,0.03961,1,"283.5|298.4|229|691.4|117.4|590.4|114.6|580|400.3","1.123|0.3789|0.6331|6.936|0.5184|0.2127|1.684|0.2602|2.107","4.523|26.38|0.001408|3.235|0.02547|0.1931|0.00317|0.0001607|0.2246"
11,3.1559e-02,2.3922e-02,1.4902e-01,7.9445e-04,1.5204e-03,4.9924e-03,11.12085,16,0.12190,1,"95.58|664.9|522.8|127|470.3|629.5|624.1|345.7|186.7|195|259.9|86.21|85.31|81.88|514.5|391.4","1.736|4.825|0.5816|1.607|2.498|0.514|2.325|0.3978|2.249|1.05|0.9658|2.459|0.6285|0.4338|0.167|0.5946","10.87|0.001753|0.0732|0.7797|16.11|0.0001889|4.39|30.11|0.0001211|0.5003|0.0001411|0.02389|5.146|0.000496|0.266|0.2306"
12,1.7974e-01,9.3321e-03,1.2027e-01,1.1744e-04,4.9043e-03,1.0897e-04,455.83416,16,0.98611,1,"38.25|390.5|167.4|290.9|617.9|34.77|190.2|569.4|390|506.2|15.38|544.4|716.4|192|217.2|469.4","0.2158|4.33|6.373|0.5269|9.04|0.321|0.7464|1.171|5.616|8.859|0.6481|3.967|1.351|0.2847|8.456|0.2154","0.7193|84.36|22.39|0.001846|0.2133|93|0.0003776|0.005702|0.0001007|1.027|0.004421|0.0003789|0.04921|1.2|0.0002332|0.007152"
13,6.3053e-02,3.6622e-01,4.7667e-01,7.8725e-02,1.1449e-01,2.2004e-04,2585.84117,48,0.60011,1,"300.2|606.2|656.4|506.4|615.8|237.3|476.9|191.7|639.9|299.7|434.5|715.8|495.7|358.5|539.2|315.5|208.9|418.9|606.1|670.6|714.7|691.9|523.9|275.5|410.1|286.2|218.5|275.1|293.2|717.5|711.1|511.8|714.4|415.1|585.4|111.8|545.9|574.1|517.6|522|331.6|235.8|587.2|324|226|564.7|487.6|229.5","1.121|0.4584|10.71|0.6216|0.6561|0.6651|1.947|1.192|0.1875|1.042|0.4958|0.3265|4.414|0.6509|0.4746|1.543|4.265|1.65|2.825|3.266|6.581|2.642|1.061|11.88|1.945|11.9|0.3845|10.01|7.736|0.8199|1.722|3.775|6.491|4.168|3.42|1.179|2.036|0.4048|3.27|6.163|0.3925|0.5344|1.002|0.5979|3.946|1.214|0.443|0.3585","0.00018|0.5831|0.02881|0.001772|15.07|5.704|0.007874|0.01574|0.0001064|0.000331|0.01451|0.02802|0.0842|0.0005191|0.003403|0.0001516|42.16|0.001409|0.009675|0.0007775|0.9664|0.208|1.056|98.5|0.001037|5.229|0.01884|87.18|0.4617|2.152|0.2172|0.002125|4.721|0.05042|0.1808|0.618|0.0182|57.46|91.5|43.41|0.0001261|0.02527|0.01061|67.03|0.06736|57.89|0.2374|0.001313"
14,7.8571e+00,1.8947e-03,5.7324e+00,1.8002e-01,2.1112e-04,8.0665e-04,160206.11329,11,0.18434,1,"151|289.9|649.7|22.33|206.4|221.6|656.4|83.15|547.1|659.2|422.4","6.978|0.9178|0.5696|7.18|0.5278|0.2028|0.2224|1.022|1.836|0.3483|4.495","0.0002984|0.1918|0.01919|0.06634|15.89|37.61|0.274|0.1396|0.0001318|0.0006141|0.0007199"
15,5.8687e-01,3.1771e-03,2.5584e-01,2.9850e-01,1.4967e-04,2.4853e-04,2.67210,19,0.77970,1,"660.1|529.1|107.3|22.23|337.2|618.1|319.7|216.3|487.9|468.9|580.8|504.7|406.6|647.1|572.1|595.5|452.5|151|396.6","4.275|1.408|0.4024|0.2442|2.583|1.131|10.5|1.516|4.704|0.1757|0.2145|3.02|7.933|0.2058|0.2139|7.431|8.014|1.374|0.2628","0.289|76.56|9.441|0.01139|0.0006802|0.4503|36.59|0.7757|0.1838|0.03408|17.86|11.62|0.2096|0.003343|5.967|0.388|0.005491|0.1314|0.0001062"
16,3.2528e-03,3.3091e-03,6.1029e+00,6.8870e-02,1.1131e-02,1.0837e-05,1.03082,4,0.26564,1,"490.2|174.9|87.16|626.7","5.575|1.332|6.188|3.431","41.43|0.02213|54.43|0.09095"
