paramID,flag,periodLen,steps
1,periodic,168.0000,25872
2,periodic,168.0000,15792
3,periodic,168.0000,12096
4,periodic,168.0000,6720
5,periodic,168.0000,5712
6,periodic,168.0000,5040
7,periodic,168.0000,5376
8,periodic,168.0000,5040
9,periodic,168.0000,9408
10,periodic,168.0000,17136
11,periodic,168.0000,6720
12,periodic,168.0000,5040
13,periodic,168.0000,5040
14,periodic,168.0000,11424
15,periodic,168.0000,45360
16,periodic,168.0000,47712
17,periodic,168.0000,12096
18,periodic,168.0000,10080
19,periodic,168.0000,6720
20,periodic,168.0000,35952
21,periodic,168.0000,18480
22,periodic,168.0000,12768
23,periodic,168.0000,5040
24,periodic,168.0000,5376
25,periodic,168.0000,16128
26,periodic,168.0000,8400
27,periodic,168.0000,36288
28,periodic,168.0000,6048
29,periodic,168.0000,22176
30,periodic,168.0000,6720
31,periodic,168.0000,6048
32,periodic,168.0000,46368
33,periodic,168.0000,5376
34,periodic,168.0000,6720
35,periodic,168.0000,9072
36,periodic,168.0000,19488
37,periodic,168.0000,129360
38,periodic,168.0000,5376
39,periodic,168.0000,27216
40,periodic,168.0000,6048
41,periodic,168.0000,42672
42,periodic,168.0000,5040
43,periodic,168.0000,5040
44,periodic,168.0000,19488
45,periodic,168.0000,11760
46,periodic,168.0000,15120
47,periodic,168.0000,17136
48,periodic,168.0000,9744
49,periodic,168.0000,5040
50,periodic,168.0000,26208
51,periodic,168.0000,37296
52,periodic,168.0000,7728
53,periodic,168.0000,9408
54,periodic,168.0000,5040
55,periodic,168.0000,7728
56,periodic,168.0000,5040
57,periodic,168.0000,73248
58,periodic,168.0000,62832
59,periodic,168.0000,33936
60,periodic,168.0000,10080
61,periodic,168.0000,17472
62,periodic,168.0000,27216
63,periodic,168.0000,5712
64,periodic,168.0000,5376
65,periodic,168.0000,6720
66,periodic,168.0000,11760
67,periodic,168.0000,9408
68,periodic,168.0000,5040
69,periodic,168.0000,5040
70,periodic,168.0000,11760
71,periodic,168.0000,5040
72,periodic,168.0000,59472
73,periodic,168.0000,24864
74,periodic,168.0000,33936
75,periodic,168.0000,12768
76,periodic,168.0000,36288
77,periodic,168.0000,5040
78,periodic,168.0000,15120
79,periodic,168.0000,9744
80,periodic,168.0000,7056
81,periodic,168.0000,6048
82,periodic,168.0000,5376
83,periodic,168.0000,60816
84,periodic,168.0000,35616
85,periodic,168.0000,90384
86,periodic,168.0000,155904
87,periodic,168.0000,34944
88,periodic,168.0000,12432
89,periodic,168.0000,29904
90,periodic,168.0000,13776
91,periodic,168.0000,5040
92,periodic,168.0000,11424
93,periodic,168.0000,34272
94,periodic,168.0000,12432
95,periodic,168.0000,7056
96,periodic,168.0000,12096
97,periodic,168.0000,5712
98,periodic,168.0000,5040
