bucket_start,count
0,109510
1,61394
2,44878
3,91741
4,175602
5,188164
6,174880
7,185534
8,177752
9,157069
10,187475
11,170940
12,97469
13,51793
14,46285
15,81464
16,161034
17,171032
18,144897
19,160307
20,167135
21,156454
22,179568
23,184835
24,101743
25,57337
26,53564
27,106485
28,198113
29,201742
30,180485
31,198969
32,185862
33,178733
34,195702
35,197301
36,126860
37,64640
38,52030
39,103890
40,214713
41,227650
42,200970
43,219671
44,218034
45,196323
46,213957
47,223844
48,83306
49,47836
50,39693
51,70429
52,144604
53,165052
54,138512
55,147717
56,147494
57,133074
58,137033
59,153297
60,120096
61,60526
62,45287
63,81388
64,139501
65,170737
66,159927
67,167866
68,171660
69,170661
70,191677
71,217486
72,115386
73,56430
74,41918
75,75213
76,127093
77,145269
78,140124
79,137726
80,137204
81,139148
82,160250
83,181707
