bucket_of_week,count
0,144696
1,69197
2,52088
3,123971
4,219597
5,251252
6,248937
7,200621
8,239101
9,196598
10,240404
11,272139
12,112562
13,61537
14,56507
15,121831
16,214324
17,215509
18,203918
19,220681
20,216973
21,198026
22,220167
23,256235
24,129295
25,67276
26,59380
27,126493
28,230200
29,247684
30,212064
31,243998
32,208510
33,222060
34,229913
35,253101
36,164770
37,77122
38,67173
39,125396
40,281635
41,296301
42,270980
43,282240
44,268035
45,255783
46,295479
47,316854
48,100349
49,50331
50,48080
51,97375
52,213610
53,198748
54,183566
55,192879
56,178124
57,173303
58,169564
59,199982
60,151480
61,73129
62,54032
63,107254
64,193469
65,246052
66,208046
67,188724
68,237900
69,233876
70,288805
71,352590
72,127047
73,64192
74,48905
75,88643
76,158478
77,182681
78,161032
79,175969
80,173814
81,162422
82,219807
83,245251
